;Cluster;Wochentag;Ankunftszeit;Nummer;Pausentyp;Kapazitaet;Max_Leistung;SOC;Pausenlaenge;Ladesäule;Zeit_DateTime;Ankunftszeit_total;LoadStatus
94748;2;1;595;5;Schnelllader;840;1000;0,4938981651902353;45;HPC;2021-01-01 09:55:00;595;1
94749;2;1;600;6;Schnelllader;960;1000;0,4361123414515053;45;HPC;2021-01-01 10:00:00;600;1
94750;2;1;600;7;Schnelllader;960;1000;0,368283497340729;45;HPC;2021-01-01 10:00:00;600;1
94751;2;1;605;8;Schnelllader;720;1000;0,4398102771256201;45;HPC;2021-01-01 10:05:00;605;1
94753;2;1;605;10;Schnelllader;720;1000;0,5115866363223005;45;HPC;2021-01-01 10:05:00;605;1
94755;2;1;620;12;Schnelllader;960;1000;0,5120707428255012;45;HPC;2021-01-01 10:20:00;620;1
94756;2;1;625;13;Schnelllader;960;1000;0,4805848155297155;45;HPC;2021-01-01 10:25:00;625;1
94758;2;1;640;15;Schnelllader;720;1000;0,4802286656137585;45;HPC;2021-01-01 10:40:00;640;1
94760;2;1;645;17;Schnelllader;840;1000;0,4084152448830955;45;HPC;2021-01-01 10:45:00;645;1
94761;2;1;650;18;Schnelllader;840;1000;0,437726634616717;45;HPC;2021-01-01 10:50:00;650;1
94762;2;1;650;19;Schnelllader;960;1000;0,4153103147964304;45;HPC;2021-01-01 10:50:00;650;1
94763;2;1;655;20;Schnelllader;960;1000;0,3493627435023518;45;HPC;2021-01-01 10:55:00;655;1
94764;2;1;670;21;Schnelllader;960;1000;0,4777915121040011;45;HPC;2021-01-01 11:10:00;670;1
94766;2;1;675;23;Schnelllader;960;1000;0,4496217699174843;45;HPC;2021-01-01 11:15:00;675;1
94768;2;1;685;25;Schnelllader;840;1000;0,463371392500432;45;HPC;2021-01-01 11:25:00;685;1
94769;2;1;690;26;Schnelllader;840;1000;0,4259599500560895;45;HPC;2021-01-01 11:30:00;690;1
94774;2;1;710;31;Schnelllader;720;1000;0,4710561445636706;45;HPC;2021-01-01 11:50:00;710;1
94778;2;1;745;35;Schnelllader;720;1000;0,4847359493070525;45;HPC;2021-01-01 12:25:00;745;1
94779;2;1;755;36;Schnelllader;960;1000;0,4860315144415802;45;HPC;2021-01-01 12:35:00;755;1
94783;2;1;790;40;Schnelllader;840;1000;0,4351526488295606;45;HPC;2021-01-01 13:10:00;790;1
94784;2;1;795;41;Schnelllader;840;1000;0,4047236719460205;45;HPC;2021-01-01 13:15:00;795;1
94785;2;1;800;42;Schnelllader;960;1000;0,3952174168615991;45;HPC;2021-01-01 13:20:00;800;1
94786;2;1;800;43;Schnelllader;720;1000;0,474906900945488;45;HPC;2021-01-01 13:20:00;800;1
94787;2;1;805;44;Schnelllader;960;1000;0,3877955796973629;45;HPC;2021-01-01 13:25:00;805;1
94789;2;1;815;46;Schnelllader;960;1000;0,4623631853071114;45;HPC;2021-01-01 13:35:00;815;1
94790;2;1;825;47;Schnelllader;960;1000;0,3509040780892404;45;HPC;2021-01-01 13:45:00;825;1
94791;2;1;830;48;Schnelllader;960;1000;0,3919663279587788;45;HPC;2021-01-01 13:50:00;830;1
94793;2;1;845;50;Schnelllader;960;1000;0,4268629793921845;45;HPC;2021-01-01 14:05:00;845;1
94794;2;1;845;51;Schnelllader;960;1000;0,416341555388302;45;HPC;2021-01-01 14:05:00;845;1
94795;2;1;865;52;Schnelllader;960;1000;0,3942951558486628;45;HPC;2021-01-01 14:25:00;865;1
94796;2;1;870;53;Schnelllader;960;1000;0,4114886513652322;45;HPC;2021-01-01 14:30:00;870;1
94798;2;1;890;55;Schnelllader;960;1000;0,4421338803782627;45;HPC;2021-01-01 14:50:00;890;1
94799;2;1;890;56;Schnelllader;840;1000;0,4282158217573913;45;HPC;2021-01-01 14:50:00;890;1
94800;2;1;895;57;Schnelllader;960;1000;0,3817028477358262;45;HPC;2021-01-01 14:55:00;895;1
94802;2;1;910;59;Schnelllader;960;1000;0,3894287428301686;45;HPC;2021-01-01 15:10:00;910;1
94803;2;1;925;60;Schnelllader;960;1000;0,419856847565717;45;HPC;2021-01-01 15:25:00;925;1
94804;2;1;930;61;Schnelllader;840;1000;0,4168942986478611;45;HPC;2021-01-01 15:30:00;930;1
94811;2;1;985;68;Schnelllader;960;1000;0,3855022012372137;45;HPC;2021-01-01 16:25:00;985;1
94815;2;1;1000;72;Schnelllader;960;1000;0,4022524072425876;45;HPC;2021-01-01 16:40:00;1000;1
94820;2;1;1050;77;Schnelllader;960;1000;0,3688271504234868;45;HPC;2021-01-01 17:30:00;1050;1
94827;2;1;1090;84;Schnelllader;960;1000;0,3701388613920701;45;HPC;2021-01-01 18:10:00;1090;1
94878;2;2;585;135;Schnelllader;960;1000;0,505322638103465;45;HPC;2021-01-02 09:45:00;2025;1
94880;2;2;590;137;Schnelllader;960;1000;0,3877155726174137;45;HPC;2021-01-02 09:50:00;2030;1
94881;2;2;600;138;Schnelllader;960;1000;0,4230899749819201;45;HPC;2021-01-02 10:00:00;2040;1
94883;2;2;610;140;Schnelllader;720;1000;0,462595762129913;45;HPC;2021-01-02 10:10:00;2050;1
94884;2;2;635;141;Schnelllader;840;1000;0,4651840071573936;45;HPC;2021-01-02 10:35:00;2075;1
94885;2;2;635;142;Schnelllader;720;1000;0,4750556918643202;45;HPC;2021-01-02 10:35:00;2075;1
94886;2;2;635;143;Schnelllader;840;1000;0,3901116081928258;45;HPC;2021-01-02 10:35:00;2075;1
94887;2;2;635;144;Schnelllader;840;1000;0,506982765631417;45;HPC;2021-01-02 10:35:00;2075;1
94888;2;2;645;145;Schnelllader;840;1000;0,4676642908356782;45;HPC;2021-01-02 10:45:00;2085;1
94889;2;2;645;146;Schnelllader;840;1000;0,4353551365642815;45;HPC;2021-01-02 10:45:00;2085;1
94890;2;2;645;147;Schnelllader;720;1000;0,4347677725128593;45;HPC;2021-01-02 10:45:00;2085;1
94891;2;2;650;148;Schnelllader;960;1000;0,3846638319977743;45;HPC;2021-01-02 10:50:00;2090;1
94894;2;2;665;151;Schnelllader;960;1000;0,5007586575269575;45;HPC;2021-01-02 11:05:00;2105;1
94895;2;2;665;152;Schnelllader;960;1000;0,3493311208091772;45;HPC;2021-01-02 11:05:00;2105;1
94896;2;2;670;153;Schnelllader;840;1000;0,4273870880681147;45;HPC;2021-01-02 11:10:00;2110;1
94897;2;2;675;154;Schnelllader;840;1000;0,4016613382134459;45;HPC;2021-01-02 11:15:00;2115;1
