;Cluster;Wochentag;Ankunftszeit;Nummer;Pausentyp;Kapazitaet;Max_Leistung;SOC;Pausenlaenge;Ladesäule;Zeit_DateTime;Ankunftszeit_total;LoadStatus
13526;2;1;560;7;Schnelllader;960;1000;0,5194520652536465;45;HPC;2021-01-01 09:20:00;560;1
13527;2;1;590;8;Schnelllader;840;1000;0,5196535720874271;45;HPC;2021-01-01 09:50:00;590;1
13528;2;1;600;9;Schnelllader;960;1000;0,4053360912190407;45;HPC;2021-01-01 10:00:00;600;1
13529;2;1;605;10;Schnelllader;840;1000;0,4378057165791722;45;HPC;2021-01-01 10:05:00;605;1
13530;2;1;610;11;Schnelllader;840;1000;0,4481809373800372;45;HPC;2021-01-01 10:10:00;610;1
13531;2;1;615;12;Schnelllader;840;1000;0,4469623468837949;45;HPC;2021-01-01 10:15:00;615;1
13532;2;1;615;13;Schnelllader;720;1000;0,4766886312354288;45;HPC;2021-01-01 10:15:00;615;1
13533;2;1;620;14;Schnelllader;840;1000;0,4835226258227573;45;HPC;2021-01-01 10:20:00;620;1
13536;2;1;650;17;Schnelllader;840;1000;0,4188078816316383;45;HPC;2021-01-01 10:50:00;650;1
13537;2;1;650;18;Schnelllader;840;1000;0,3861669254932022;45;HPC;2021-01-01 10:50:00;650;1
13538;2;1;660;19;Schnelllader;960;1000;0,3655020078517978;45;HPC;2021-01-01 11:00:00;660;1
13539;2;1;660;20;Schnelllader;840;1000;0,4965015138605834;45;HPC;2021-01-01 11:00:00;660;1
13541;2;1;670;22;Schnelllader;960;1000;0,3550064316193849;45;HPC;2021-01-01 11:10:00;670;1
13542;2;1;670;23;Schnelllader;840;1000;0,4628823910430775;45;HPC;2021-01-01 11:10:00;670;1
13543;2;1;670;24;Schnelllader;960;1000;0,3708684255567721;45;HPC;2021-01-01 11:10:00;670;1
13545;2;1;675;26;Schnelllader;840;1000;0,4755274306208293;45;HPC;2021-01-01 11:15:00;675;1
13552;2;1;715;33;Schnelllader;960;1000;0,4564613975961902;45;HPC;2021-01-01 11:55:00;715;1
13554;2;1;725;35;Schnelllader;840;1000;0,4664601728258842;45;HPC;2021-01-01 12:05:00;725;1
13555;2;1;730;36;Schnelllader;720;1000;0,4946442506712262;45;HPC;2021-01-01 12:10:00;730;1
13556;2;1;730;37;Schnelllader;840;1000;0,4939941605530454;45;HPC;2021-01-01 12:10:00;730;1
13558;2;1;740;39;Schnelllader;960;1000;0,4341677675686323;45;HPC;2021-01-01 12:20:00;740;1
13559;2;1;745;40;Schnelllader;840;1000;0,3990029621373133;45;HPC;2021-01-01 12:25:00;745;1
13560;2;1;745;41;Schnelllader;600;1000;0,4688051415790304;45;HPC;2021-01-01 12:25:00;745;1
13561;2;1;745;42;Schnelllader;840;1000;0,455921034161955;45;HPC;2021-01-01 12:25:00;745;1
13564;2;1;775;45;Schnelllader;960;1000;0,3877670480772442;45;HPC;2021-01-01 12:55:00;775;1
13566;2;1;790;47;Schnelllader;720;1000;0,4492929877763071;45;HPC;2021-01-01 13:10:00;790;1
13574;2;1;830;55;Schnelllader;720;1000;0,4465482552566157;45;HPC;2021-01-01 13:50:00;830;1
13577;2;1;840;58;Schnelllader;960;1000;0,381462402813598;45;HPC;2021-01-01 14:00:00;840;1
13581;2;1;865;62;Schnelllader;840;1000;0,380810772810822;45;HPC;2021-01-01 14:25:00;865;1
13584;2;1;880;65;Schnelllader;960;1000;0,3551070517467711;45;HPC;2021-01-01 14:40:00;880;1
13589;2;1;905;70;Schnelllader;960;1000;0,3648918862664704;45;HPC;2021-01-01 15:05:00;905;1
13594;2;1;940;75;Schnelllader;960;1000;0,4317080504503541;45;HPC;2021-01-01 15:40:00;940;1
13670;2;2;460;151;Schnelllader;840;1000;0,524723408779527;45;HPC;2021-01-02 07:40:00;1900;1
13671;2;2;590;152;Schnelllader;720;1000;0,5196017845195398;45;HPC;2021-01-02 09:50:00;2030;1
13673;2;2;590;154;Schnelllader;960;1000;0,5127931368833132;45;HPC;2021-01-02 09:50:00;2030;1
13674;2;2;590;155;Schnelllader;840;1000;0,4905941638033679;45;HPC;2021-01-02 09:50:00;2030;1
13676;2;2;600;157;Schnelllader;960;1000;0,471345658887114;45;HPC;2021-01-02 10:00:00;2040;1
13679;2;2;610;160;Schnelllader;840;1000;0,5162063315265714;45;HPC;2021-01-02 10:10:00;2050;1
13680;2;2;610;161;Schnelllader;840;1000;0,4840344290579991;45;HPC;2021-01-02 10:10:00;2050;1
13681;2;2;615;162;Schnelllader;960;1000;0,379853210285292;45;HPC;2021-01-02 10:15:00;2055;1
13682;2;2;615;163;Schnelllader;720;1000;0,5250691046180694;45;HPC;2021-01-02 10:15:00;2055;1
13683;2;2;620;164;Schnelllader;960;1000;0,4907693320636026;45;HPC;2021-01-02 10:20:00;2060;1
13685;2;2;625;166;Schnelllader;960;1000;0,4803820304768666;45;HPC;2021-01-02 10:25:00;2065;1
13689;2;2;655;170;Schnelllader;840;1000;0,4865066478656764;45;HPC;2021-01-02 10:55:00;2095;1
13691;2;2;675;172;Schnelllader;840;1000;0,4258548240450971;45;HPC;2021-01-02 11:15:00;2115;1
13692;2;2;675;173;Schnelllader;960;1000;0,3983624232135604;45;HPC;2021-01-02 11:15:00;2115;1
13693;2;2;680;174;Schnelllader;960;1000;0,4161386719237411;45;HPC;2021-01-02 11:20:00;2120;1
13694;2;2;680;175;Schnelllader;960;1000;0,5038276090577721;45;HPC;2021-01-02 11:20:00;2120;1
13697;2;2;690;178;Schnelllader;960;1000;0,3814578878412383;45;HPC;2021-01-02 11:30:00;2130;1
13698;2;2;695;179;Schnelllader;720;1000;0,4654928242427782;45;HPC;2021-01-02 11:35:00;2135;1
13699;2;2;700;180;Schnelllader;960;1000;0,4145411685292365;45;HPC;2021-01-02 11:40:00;2140;1
